source,interaction,target
CATMA1a02660,Y1H,CATMA1a41480
CATMA1a05200,Y1H,CATMA1a41480
CATMA1a33770,Y1H,CATMA1a41480
CATMA2a22760,Y1H,CATMA1a41480
CATMA3a01150,Y1H,CATMA1a41480
CATMA3a05630,Y1H,CATMA1a41480
CATMA3a18940,Y1H,CATMA1a41480
CATMA3a23220,Y1H,CATMA1a41480
CATMA3a50610,Y1H,CATMA1a41480
CATMA5a07600,Y1H,CATMA1a41480
CATMA5a11530,Y1H,CATMA1a41480
CATMA5a50510,Y1H,CATMA1a41480
CATMA5c65068,Y1H,CATMA1a41480
CATMA5a57616,Y1H,CATMA1a41480
CATMA5a60750,Y1H,CATMA1a41480
CATMA1a02660,Y1H,CATMA5a35200
CATMA1a05200,Y1H,CATMA5a35200
CATMA1a24250,Y1H,CATMA5a35200
CATMA1a33770,Y1H,CATMA5a35200
CATMA1a50150,Y1H,CATMA5a35200
CATMA3a01150,Y1H,CATMA5a35200
CATMA3a14920,Y1H,CATMA5a35200
CATMA3a18940,Y1H,CATMA5a35200
CATMA3a23220,Y1H,CATMA5a35200
CATMA3a43300,Y1H,CATMA5a35200
CATMA3a49500,Y1H,CATMA5a35200
CATMA3a50610,Y1H,CATMA5a35200
CATMA4a35825,Y1H,CATMA5a35200
CATMA4a36430,Y1H,CATMA5a35200
CATMA5a07600,Y1H,CATMA5a35200
CATMA5a11530,Y1H,CATMA5a35200
CATMA5a49890,Y1H,CATMA5a35200
CATMA5a54650,Y1H,CATMA5a35200
CATMA5c65068,Y1H,CATMA5a35200
CATMA5a57616,Y1H,CATMA5a35200
