name,GST,Commonname
CATMA1a02660,AT1G03800,ERF10
CATMA1a05200,AT1G06160,ORA59
CATMA1a24250,AT1G25550,AT1G25550
CATMA1a33770,AT1G35560,TCP23
CATMA1a50150,AT1G61110,ANAC025
CATMA2a22760,AT2G24430,ANAC038
CATMA3a01150,AT3G02150,TCP13
CATMA3a05630,AT3G06490,MYB108
CATMA3a14920,AT3G15510,ANAC056
CATMA3a18940,AT3G19290,ABF4
CATMA3a23220,AT3G23220,ERF095(ESE1)
CATMA3a43300,AT3G50260,CEJ1
CATMA3a49500,AT3G56530,ANAC064
CATMA3a50610,AT3G57600,DREB2F
CATMA4a35825,AT4G34000,ABF3
CATMA4a36430,AT4G34590,GBF6
CATMA5a07600,AT5G08330,TCP21
CATMA5a11530,AT5G13330,Rap2.6L
CATMA5a49890,AT5G53980,ATHB52
CATMA5a50510,AT5G54680,ILR3
CATMA5a54650,AT5G58900,AT5G58900
CATMA5a57616,AT5G62000,ARF2
CATMA5a60750,AT5G65410,ATHB25
CATMA5c65068,AT5G61270,PIF7
CATMA1a41480,AT1G50420,SCL3
CATMA5a35200,AT5G39610,ANAC092
